id,name,origin,teaType,ingredients,flavorProfile,bitterness,sweetness,floralNotes,spiceLevel,aroma,caffeine,calories,preparationTime,steepTemperature,waterRatio,healthBenefits,moodTags,season,price,rating,reviewsCount,description,foodPairings,imageUrl
TEA-IN-0013,Coonoor Highland Fragrant Amber Lot #422,Nilgiri (Ooty Highlands),Nilgiri,100% High-Elevation Nilgiri Camellia Sinensis,Bright Citrus; Crisp Fruit; Light Malt; Plum,3.5,6.3,8.7,0.9,8.1,43,4,3,90,2.5g per 200ml (or 1:1 milk-water for Chai),Weight Balance; Heart Health; Antioxidant Rich; Daily Refreshment,Calm; Creative; Uplifted; Focused,All Season,1384.0,4.76,109,"An exquisite handcrafted nilgiri harvest from the famed terroirs of Nilgiri (Ooty Highlands). Imbued with prominent sensory notes of Bright Citrus, Crisp Fruit, Light Malt, this blend exhibits an aroma rating of 8.1/10. Specially curated for calm, creative rituals, it offers potent weight balance, heart health.",Spicy Bhakarwadi & Mathri; Traditional Osmania Butter Biscuits,https://images.unsplash.com/photo-1546852199-2d8e8c4aa477?auto=format&fit=crop&w=800&q=80
TEA-IN-0014,Chamomile & Shankhpushpi Deep Sleep,Kerala (Western Ghats),Ayurvedic Tisane,"Organic Tulsi (Holy Basil), Ashwagandha Root, Wild Himalayan Turmeric, Brahmi Leaves, Licorice (Mulethi), Fennel Seeds (Saunf), Lemongrass",Cooling; Woody; Botanical,2.5,6.4,5.3,3.8,8.9,0,5,5,100,2.5g per 200ml (or 1:1 milk-water for Chai),Cortisol / Stress Reduction; Gut Health & Detox; Immunity Fortification; Joint & Anti-inflammatory,Calm; Soothing; Relaxed; Cozy,Autumnal Harvest,697.0,4.82,253,"An exquisite handcrafted ayurvedic tisane harvest from the famed terroirs of Kerala (Western Ghats). Imbued with prominent sensory notes of Cooling, Woody, Botanical, this blend exhibits an aroma rating of 8.9/10. Specially curated for calm, soothing rituals, it offers potent cortisol / stress reduction, gut health & detox.",Crisp Hot Samosas with Mint & Tamarind Chutney; Traditional Osmania Butter Biscuits,https://images.unsplash.com/photo-1544787219-7f47ccb76574?auto=format&fit=crop&w=800&q=80
TEA-IN-0015,Wild Herb Infused Kangra Tea '25,Himachal Pradesh (Palampur),Kangra Valley,100% Certified GI Tagged Kangra Valley Whole Leaf Tea,Floral; Roasted Corn; Pine Mist; Nutty; Mellow Green,2.0,5.9,7.4,1.8,8.7,42,3,2,77,2.5g per 200ml (or 1:1 milk-water for Chai),Digestive Ease; Peaceful Focus,Refreshed; Uplifted; Meditative,All Season,1132.0,4.61,404,"An exquisite handcrafted kangra valley harvest from the famed terroirs of Himachal Pradesh (Palampur). Imbued with prominent sensory notes of Floral, Roasted Corn, Pine Mist, this blend exhibits an aroma rating of 8.7/10. Specially curated for refreshed, uplifted rituals, it offers potent digestive ease, peaceful focus.",Shrewsbury Butter Biscuits; Gulab Jamun with Rosewater Syrup; Irani Cafe Bun Maska & Chai,https://images.unsplash.com/photo-1576092768241-dec231879fc3?auto=format&fit=crop&w=800&q=80
TEA-IN-0016,Sikkim Royal Orthodox Muscatel Lot #382,Sikkim (Ravangla Highlands),Sikkim Temi,100% Organic Single Estate Temi Leaves,Sweet Floral; Gentle Spice; Peach,2.9,6.6,7.3,2.8,8.1,33,3,3,90,2.5g per 200ml (or 1:1 milk-water for Chai),Pure Organic Nutrition; Cardiovascular Support; Skin Vitality,Meditative; Serene,Autumnal Harvest,457.0,4.54,405,"An exquisite handcrafted sikkim temi harvest from the famed terroirs of Sikkim (Ravangla Highlands). Imbued with prominent sensory notes of Sweet Floral, Gentle Spice, Peach, this blend exhibits an aroma rating of 8.1/10. Specially curated for meditative, serene rituals, it offers potent pure organic nutrition, cardiovascular support.",Dhokla with Green Chilies; Spicy Bhakarwadi & Mathri,https://images.unsplash.com/photo-1576092768241-dec231879fc3?auto=format&fit=crop&w=800&q=80
TEA-IN-0017,Misty Mountain Bio-Dynamic First Flush Lot #660 '24,Darjeeling (Okayti),Darjeeling,100% Hand-Picked Camellia Sinensis Single Estate Darjeeling Leaves,Muscatel; Honey; Apricot,2.7,6.1,8.5,1.1,9.3,49,5,3,87,2.5g per 200ml (or 1:1 milk-water for Chai),Mental Clarity; High Antioxidants; Cellular Protection; Heart Wellness,Meditative; Focused,Second Flush Summer,942.0,4.52,409,"An exquisite handcrafted darjeeling harvest from the famed terroirs of Darjeeling (Okayti). Imbued with prominent sensory notes of Muscatel, Honey, Apricot, this blend exhibits an aroma rating of 9.3/10. Specially curated for meditative, focused rituals, it offers potent mental clarity, high antioxidants.",Spicy Bhakarwadi & Mathri; Warm Cardamom Nankhatai,https://images.unsplash.com/photo-1594631252845-29fc4cc8cde9?auto=format&fit=crop&w=800&q=80
TEA-IN-0018,Smoked Wild Bamboo Assam,Assam (Golaghat),Assam,100% High-Grade Assam Whole Leaf & Golden Buds (Camellia Sinensis var. Assamica),Honey; Malty; Toasted Grain,4.1,4.9,4.0,2.5,8.6,77,5,4,95,2.5g per 200ml (or 1:1 milk-water for Chai),Digestive Power; Cardiovascular Support; High Sustained Energy; Metabolic Fire,Energetic; Focused; Motivated; Uplifted,All Season,946.0,4.83,103,"An exquisite handcrafted assam harvest from the famed terroirs of Assam (Golaghat). Imbued with prominent sensory notes of Honey, Malty, Toasted Grain, this blend exhibits an aroma rating of 8.6/10. Specially curated for energetic, focused rituals, it offers potent digestive power, cardiovascular support.",Dhokla with Green Chilies; Poha with Roasted Peanuts; Irani Cafe Bun Maska & Chai,https://images.unsplash.com/photo-1571934811356-5cc061b6821f?auto=format&fit=crop&w=800&q=80
TEA-IN-0019,Royal Elaichi & Kesar Rich Chai,Delhi Old Quarter,Masala Chai,"Assam CTC Black Tea, Green Cardamom Pods, Crushed Dry Ginger, Ceylon Cinnamon, Cloves, Black Pepper, Star Anise, Saffron",Peppery; Creamy; Sweet Heat; Clove (Laung); Spicy,5.0,8.3,2.2,9.3,9.1,60,55,4,95,2.5g per 200ml (or 1:1 milk-water for Chai),Digestive Comfort; Immunity Shield; Anti-inflammatory; Instant Warming,Refreshed; Energetic; Comforting; Cozy,Monsoon Special,487.0,4.55,444,"An exquisite handcrafted masala chai harvest from the famed terroirs of Delhi Old Quarter. Imbued with prominent sensory notes of Peppery, Creamy, Sweet Heat, this blend exhibits an aroma rating of 9.1/10. Specially curated for refreshed, energetic rituals, it offers potent digestive comfort, immunity shield.",Gulab Jamun with Rosewater Syrup; Spicy Bhakarwadi & Mathri,https://images.unsplash.com/photo-1571934811356-5cc061b6821f?auto=format&fit=crop&w=800&q=80
TEA-IN-0020,Traditional Samovar Cinnamon Kahwa,Kashmir (Pampore Saffron Fields),Kashmir Kahwa,"Kashmiri Green Tea Leaves, Pampore Pure Saffron Strands, Green Cardamom, Cinnamon, Crushed Almond Slivers, Dried Rose Petals",Delicate Green; Cinnamon; Saffron (Kesar),2.3,7.8,9.2,7.3,9.5,27,4,4,82,2.5g per 200ml (or 1:1 milk-water for Chai),Stress Relief; Digestive Fire; Immunity Boost,Refreshed; Relaxed; Meditative; Cozy,Second Flush Summer,1616.0,4.53,325,"An exquisite handcrafted kashmir kahwa harvest from the famed terroirs of Kashmir (Pampore Saffron Fields). Imbued with prominent sensory notes of Delicate Green, Cinnamon, Saffron (Kesar), this blend exhibits an aroma rating of 9.5/10. Specially curated for refreshed, relaxed rituals, it offers potent stress relief, digestive fire.",Gulab Jamun with Rosewater Syrup; Traditional Osmania Butter Biscuits; Irani Cafe Bun Maska & Chai,https://images.unsplash.com/photo-1563822249548-9a72b6353cd1?auto=format&fit=crop&w=800&q=80
TEA-IN-0021,Nilgiri Frost Tea Winter Pluck '25,Nilgiri (Coonoor),Nilgiri,100% High-Elevation Nilgiri Camellia Sinensis,Floral; Light Malt; Sweet Melon; Crisp Fruit; Plum,2.4,6.6,7.4,1.9,8.7,35,2,3,91,2.5g per 200ml (or 1:1 milk-water for Chai),Weight Balance; Heart Health; Daily Refreshment; Gentle Alertness,Calm; Uplifted; Focused,Second Flush Summer,481.0,4.66,410,"An exquisite handcrafted nilgiri harvest from the famed terroirs of Nilgiri (Coonoor). Imbued with prominent sensory notes of Floral, Light Malt, Sweet Melon, this blend exhibits an aroma rating of 8.7/10. Specially curated for calm, uplifted rituals, it offers potent weight balance, heart health.",Kashmiri Girda Flatbread with Butter; Kolkata Style Kathi Rolls; Traditional Osmania Butter Biscuits,https://images.unsplash.com/photo-1597481499750-3e6b22637e12?auto=format&fit=crop&w=800&q=80
TEA-IN-0022,Brahmi & Shankhpushpi Memory Tonic Lot #384 '26,Himalayan Foothills,Ayurvedic Tisane,"Organic Tulsi (Holy Basil), Ashwagandha Root, Wild Himalayan Turmeric, Brahmi Leaves, Licorice (Mulethi), Fennel Seeds (Saunf), Lemongrass",Cooling; Herbal; Woody; Tulsi Mint,2.0,7.9,7.3,3.2,8.2,0,5,7,96,2.5g per 200ml (or 1:1 milk-water for Chai),Cortisol / Stress Reduction; Gut Health & Detox; Immunity Fortification; Deep Restful Sleep,Calm; Soothing; Meditative; Cozy,Autumnal Harvest,373.0,4.34,271,"An exquisite handcrafted ayurvedic tisane harvest from the famed terroirs of Himalayan Foothills. Imbued with prominent sensory notes of Cooling, Herbal, Woody, this blend exhibits an aroma rating of 8.2/10. Specially curated for calm, soothing rituals, it offers potent cortisol / stress reduction, gut health & detox.",Crisp Hot Samosas with Mint & Tamarind Chutney; Warm Cardamom Nankhatai; Irani Cafe Bun Maska & Chai,https://images.unsplash.com/photo-1597481499750-3e6b22637e12?auto=format&fit=crop&w=800&q=80
TEA-IN-0023,Snow Mist Kangra First Flush Lot #256,Himachal Pradesh (Palampur),Kangra Valley,100% Certified GI Tagged Kangra Valley Whole Leaf Tea,Mellow Green; Floral; Roasted Corn; Pine Mist,2.4,6.3,8.5,0.7,8.5,37,4,2,83,2.5g per 200ml (or 1:1 milk-water for Chai),High Polyphenols; Metabolic Balance; Antioxidant Shield,Refreshed; Focused; Meditative; Uplifted,First Flush Spring,547.0,4.35,21,"An exquisite handcrafted kangra valley harvest from the famed terroirs of Himachal Pradesh (Palampur). Imbued with prominent sensory notes of Mellow Green, Floral, Roasted Corn, this blend exhibits an aroma rating of 8.5/10. Specially curated for refreshed, focused rituals, it offers potent high polyphenols, metabolic balance.",Poha with Roasted Peanuts; Kolkata Style Kathi Rolls; Irani Cafe Bun Maska & Chai,https://images.unsplash.com/photo-1563822249548-9a72b6353cd1?auto=format&fit=crop&w=800&q=80
TEA-IN-0024,High Altitude Cloud Pluck Temi Red,Sikkim (Ravangla Highlands),Sikkim Temi,100% Organic Single Estate Temi Leaves,Muscatel; Gentle Spice; Caramel,2.9,7.8,7.6,2.4,9.4,45,5,3,88,2.5g per 200ml (or 1:1 milk-water for Chai),Pure Organic Nutrition; L-Theanine Serenity; Cardiovascular Support,Refreshed; Serene,All Season,933.0,4.49,296,"An exquisite handcrafted sikkim temi harvest from the famed terroirs of Sikkim (Ravangla Highlands). Imbued with prominent sensory notes of Muscatel, Gentle Spice, Caramel, this blend exhibits an aroma rating of 9.4/10. Specially curated for refreshed, serene rituals, it offers potent pure organic nutrition, l-theanine serenity.",Gulab Jamun with Rosewater Syrup; Kolkata Style Kathi Rolls; Warm Cardamom Nankhatai,https://images.unsplash.com/photo-1576092768241-dec231879fc3?auto=format&fit=crop&w=800&q=80
TEA-IN-0025,Single Estate Royal Amber Darjeeling Lot #543 '26,Darjeeling (Makaibari),Darjeeling,100% Hand-Picked Camellia Sinensis Single Estate Darjeeling Leaves,Honey; Apricot; Green Apple,2.1,5.4,9.9,1.8,9.2,53,5,4,89,2.5g per 200ml (or 1:1 milk-water for Chai),Mental Clarity; High Antioxidants; Gentle Vitality; Heart Wellness,Calm; Refreshed; Meditative; Focused,First Flush Spring,1160.0,4.77,167,"An exquisite handcrafted darjeeling harvest from the famed terroirs of Darjeeling (Makaibari). Imbued with prominent sensory notes of Honey, Apricot, Green Apple, this blend exhibits an aroma rating of 9.2/10. Specially curated for calm, refreshed rituals, it offers potent mental clarity, high antioxidants.",Kashmiri Girda Flatbread with Butter; Crisp Onion & Paneer Pakoras; Kolkata Style Kathi Rolls,https://images.unsplash.com/photo-1546852199-2d8e8c4aa477?auto=format&fit=crop&w=800&q=80
TEA-IN-0026,Robust Morning Chai Blend,Assam (Sibsagar),Assam,100% High-Grade Assam Whole Leaf & Golden Buds (Camellia Sinensis var. Assamica),Honey; Molasses; Caramel,4.9,3.4,3.3,4.1,9.1,50,4,5,98,2.5g per 200ml (or 1:1 milk-water for Chai),Digestive Power; Cardiovascular Support; High Sustained Energy; Immune Strength,Focused; Motivated; Cozy,Monsoon Special,1176.0,4.71,142,"An exquisite handcrafted assam harvest from the famed terroirs of Assam (Sibsagar). Imbued with prominent sensory notes of Honey, Molasses, Caramel, this blend exhibits an aroma rating of 9.1/10. Specially curated for focused, motivated rituals, it offers potent digestive power, cardiovascular support.",Gulab Jamun with Rosewater Syrup; Kashmiri Girda Flatbread with Butter; Kolkata Style Kathi Rolls,https://images.unsplash.com/photo-1514733670139-4d87a1941d55?auto=format&fit=crop&w=800&q=80
TEA-IN-0027,Fiery Adrak & Kali Mirch Kadak Chai Lot #666,Kolkata Street Estate,Masala Chai,"Assam CTC Black Tea, Green Cardamom Pods, Crushed Dry Ginger, Ceylon Cinnamon, Cloves, Black Pepper, Star Anise, Saffron",Cardamom (Elaichi); Peppery; Cinnamon (Dalchini); Creamy; Clove (Laung),3.7,7.8,1.3,9.9,9.6,44,60,5,99,2.5g per 200ml (or 1:1 milk-water for Chai),Anti-inflammatory; Cold & Cough Relief; Instant Warming,Refreshed; Comforting,Second Flush Summer,763.0,4.65,440,"An exquisite handcrafted masala chai harvest from the famed terroirs of Kolkata Street Estate. Imbued with prominent sensory notes of Cardamom (Elaichi), Peppery, Cinnamon (Dalchini), this blend exhibits an aroma rating of 9.6/10. Specially curated for refreshed, comforting rituals, it offers potent anti-inflammatory, cold & cough relief.",Spicy Bhakarwadi & Mathri; Warm Cardamom Nankhatai,https://images.unsplash.com/photo-1544787219-7f47ccb76574?auto=format&fit=crop&w=800&q=80
TEA-IN-0028,Himalayan Crushed Walnut & Kahwa Blend,Kashmir (Gulmarg Hills),Kashmir Kahwa,"Kashmiri Green Tea Leaves, Pampore Pure Saffron Strands, Green Cardamom, Cinnamon, Crushed Almond Slivers, Dried Rose Petals",Delicate Green; Sweet Almond; Cardamom; Floral Honey,3.0,7.5,6.5,6.6,9.3,23,4,4,83,2.5g per 200ml (or 1:1 milk-water for Chai),Digestive Fire; Skin Glow & Radiance,Refreshed; Cozy; Calm,First Flush Spring,1202.0,4.7,71,"An exquisite handcrafted kashmir kahwa harvest from the famed terroirs of Kashmir (Gulmarg Hills). Imbued with prominent sensory notes of Delicate Green, Sweet Almond, Cardamom, this blend exhibits an aroma rating of 9.3/10. Specially curated for refreshed, cozy rituals, it offers potent digestive fire, skin glow & radiance.",Gulab Jamun with Rosewater Syrup; Crisp Hot Samosas with Mint & Tamarind Chutney,https://images.unsplash.com/photo-1563822249548-9a72b6353cd1?auto=format&fit=crop&w=800&q=80
TEA-IN-0029,Blue Mountain Aromatic Orthdox,Nilgiri (Kotagiri),Nilgiri,100% High-Elevation Nilgiri Camellia Sinensis,Light Malt; Honey; Sweet Melon; Crisp Fruit; Plum,3.2,8.4,6.2,2.1,8.4,47,3,3,90,2.5g per 200ml (or 1:1 milk-water for Chai),Heart Health; Gentle Alertness; Antioxidant Rich; Daily Refreshment,Calm; Focused,All Season,1124.0,4.37,105,"An exquisite handcrafted nilgiri harvest from the famed terroirs of Nilgiri (Kotagiri). Imbued with prominent sensory notes of Light Malt, Honey, Sweet Melon, this blend exhibits an aroma rating of 8.4/10. Specially curated for calm, focused rituals, it offers potent heart health, gentle alertness.",Spicy Bhakarwadi & Mathri; Kolkata Style Kathi Rolls,https://images.unsplash.com/photo-1546852199-2d8e8c4aa477?auto=format&fit=crop&w=800&q=80
